Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Common_regression,Chrome 120.0.0.0,,,14-12-2023 17:45:52,14-12-2023 17:46:11,19.672s,PASSED
,,,,,,,
Test Cases/Common Test/Login,Chrome 120.0.0.0,,,14-12-2023 17:45:52,14-12-2023 17:46:11,19.133s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,14-12-2023 17:45:53,14-12-2023 17:45:57,4.275s,PASSED
"navigateToUrl(""https://hospitalb.com/login"")",Chrome 120.0.0.0,,,14-12-2023 17:45:57,14-12-2023 17:46:02,4.700s,PASSED
"setText(findTestObject(""Object Repository/Page_Demo Hospital/input_email""), ID)",Chrome 120.0.0.0,,,14-12-2023 17:46:02,14-12-2023 17:46:04,1.696s,PASSED
"setText(findTestObject(""Object Repository/Page_Demo Hospital/input_password""), Pass)",Chrome 120.0.0.0,,,14-12-2023 17:46:04,14-12-2023 17:46:05,0.864s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Hospital/input_custom-btn""))",Chrome 120.0.0.0,,,14-12-2023 17:46:05,14-12-2023 17:46:10,5.868s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Hospital/span_Admin""), Name)",Chrome 120.0.0.0,,,14-12-2023 17:46:10,14-12-2023 17:46:11,0.596s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,14-12-2023 17:46:11,14-12-2023 17:46:11,0.435s,PASSED
