Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VisualTest,Chrome 120.0.0.0,,,21-12-2023 16:34:48,21-12-2023 16:37:24,2m - 35.911s,FAILED
,,,,,,,
Test Cases/visual testing checkpoints/Login_Page,Chrome 120.0.0.0,,,21-12-2023 16:34:48,21-12-2023 16:35:02,13.769s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-12-2023 16:34:49,21-12-2023 16:34:54,4.527s,PASSED
"navigateToUrl(""https://hospitalb.com/login"")",Chrome 120.0.0.0,,,21-12-2023 16:34:54,21-12-2023 16:34:58,4.502s,PASSED
waitForPageLoad(4),Chrome 120.0.0.0,,,21-12-2023 16:34:58,21-12-2023 16:34:58,0.362s,PASSED
"takeScreenshotAsCheckpoint(""LoginPage"")",Chrome 120.0.0.0,,,21-12-2023 16:34:58,21-12-2023 16:35:00,1.410s,PASSED
"takeScreenshotAsCheckpoint(""LoginPage2"")",Chrome 120.0.0.0,,,21-12-2023 16:35:00,21-12-2023 16:35:01,1.155s,PASSED
"verifyElementText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/Page_Demo Hospital/h2_Demo  Hospital""), ""Demo Hospital"")",Chrome 120.0.0.0,,,21-12-2023 16:35:01,21-12-2023 16:35:02,0.519s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-12-2023 16:35:02,21-12-2023 16:35:02,0.706s,PASSED
,,,,,,,
Test Cases/visual testing checkpoints/HomePageAdmin,Chrome 120.0.0.0,,,21-12-2023 16:35:02,21-12-2023 16:35:17,14.814s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-12-2023 16:35:03,21-12-2023 16:35:04,1.351s,PASSED
"navigateToUrl(""https://hospitalb.com/login"")",Chrome 120.0.0.0,,,21-12-2023 16:35:04,21-12-2023 16:35:08,4.464s,PASSED
"setText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/input_email""), ""admin@gmail.com"")",Chrome 120.0.0.0,,,21-12-2023 16:35:08,21-12-2023 16:35:09,1.011s,PASSED
"setEncryptedText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/input_password""), ""aeHFOx8jV/A="")",Chrome 120.0.0.0,,,21-12-2023 16:35:09,21-12-2023 16:35:10,0.576s,PASSED
"click(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/input_custom-btn""))",Chrome 120.0.0.0,,,21-12-2023 16:35:10,21-12-2023 16:35:16,5.577s,PASSED
"verifyElementText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/b_Demo  Hospital""), ""Demo Hospital"")",Chrome 120.0.0.0,,,21-12-2023 16:35:16,21-12-2023 16:35:16,0.405s,PASSED
waitForPageLoad(4),Chrome 120.0.0.0,,,21-12-2023 16:35:16,21-12-2023 16:35:16,0.030s,PASSED
"takeScreenshotAsCheckpoint(""HomePageAdmin"")",Chrome 120.0.0.0,,,21-12-2023 16:35:16,21-12-2023 16:35:17,0.768s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-12-2023 16:35:17,21-12-2023 16:35:17,0.394s,PASSED
,,,,,,,
Test Cases/visual testing checkpoints/HRDashBordPage,Chrome 120.0.0.0,,,21-12-2023 16:35:17,21-12-2023 16:35:33,15.724s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-12-2023 16:35:17,21-12-2023 16:35:19,1.293s,PASSED
"navigateToUrl(""https://hospitalb.com/login"")",Chrome 120.0.0.0,,,21-12-2023 16:35:19,21-12-2023 16:35:24,4.892s,PASSED
"setText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/Page_Demo Hospital/input_email""), ""hr@gmail.com"")",Chrome 120.0.0.0,,,21-12-2023 16:35:24,21-12-2023 16:35:25,0.990s,PASSED
"setEncryptedText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/Page_Demo Hospital/input_password""), ""aeHFOx8jV/A="")",Chrome 120.0.0.0,,,21-12-2023 16:35:25,21-12-2023 16:35:25,0.626s,PASSED
"takeScreenshotAsCheckpoint(""HRLoginPage"")",Chrome 120.0.0.0,,,21-12-2023 16:35:25,21-12-2023 16:35:26,1.200s,PASSED
"click(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/Page_Demo Hospital/input_custom-btn""))",Chrome 120.0.0.0,,,21-12-2023 16:35:26,21-12-2023 16:35:31,4.794s,PASSED
"verifyElementText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/Page_Demo Hospital/h1_Demo  Hospital Statistics""), ""Demo Hospital Statistics"")",Chrome 120.0.0.0,,,21-12-2023 16:35:31,21-12-2023 16:35:32,0.438s,PASSED
waitForPageLoad(4),Chrome 120.0.0.0,,,21-12-2023 16:35:32,21-12-2023 16:35:32,0.027s,PASSED
"takeScreenshotAsCheckpoint(""HRDashBord"")",Chrome 120.0.0.0,,,21-12-2023 16:35:32,21-12-2023 16:35:32,0.727s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-12-2023 16:35:32,21-12-2023 16:35:33,0.464s,PASSED
,,,,,,,
Test Cases/visual testing checkpoints/PathologistPageC,Chrome 120.0.0.0,,,21-12-2023 16:35:33,21-12-2023 16:35:47,14.344s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-12-2023 16:35:33,21-12-2023 16:35:34,1.354s,PASSED
"navigateToUrl(""https://hospitalb.com/login"")",Chrome 120.0.0.0,,,21-12-2023 16:35:34,21-12-2023 16:35:39,4.280s,PASSED
"setText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/Page_Demo Hospital/Page_Demo Hospital/input_email""), ""pathologist@gmail.com"")",Chrome 120.0.0.0,,,21-12-2023 16:35:39,21-12-2023 16:35:40,0.907s,PASSED
"setEncryptedText(findTestObject(""Object Repository/visual testing checkpoints/Page_Demo Hospital/Page_Demo Hospital/Page_Demo Hospital/input_password""), ""aeHFOx8jV/A="")",Chrome 120.0.0.0,,,21-12-2023 16:35:40,21-12-2023 16:35:40,0.533s,PASSED
"takeScreenshotAsCheckpoint(""pathologistLoginPage"")",Chrome 120.0.0.0,,,21-12-2023 16:35:40,21-12-2023 16:35:41,1.109s,PASSED
